t,q1_des,q2_des,dq1_des,dq2_des
4.100000,-0.723126,-2.500616,0.934238,0.968335
4.110000,-0.713781,-2.490466,0.934735,1.061472
4.120000,-0.704432,-2.479390,0.934894,1.153561
4.130000,-0.695084,-2.467399,0.934711,1.244512
4.140000,-0.685739,-2.454504,0.934180,1.334235
4.150000,-0.676401,-2.440718,0.933296,1.422641
4.160000,-0.667074,-2.426056,0.932055,1.509643
4.170000,-0.657762,-2.410530,0.930451,1.595155
4.180000,-0.648467,-2.394158,0.928479,1.679093
4.190000,-0.639193,-2.376954,0.926136,1.761373
4.200000,-0.629945,-2.358936,0.923416,1.841916
4.210000,-0.620726,-2.340122,0.920315,1.920641
4.220000,-0.611540,-2.320530,0.916829,1.997470
4.230000,-0.602391,-2.300179,0.912954,2.072328
4.240000,-0.593282,-2.279090,0.908686,2.145141
4.250000,-0.584219,-2.257283,0.904022,2.215837
4.260000,-0.575203,-2.234780,0.898958,2.284347
4.270000,-0.566241,-2.211604,0.893491,2.350602
4.280000,-0.557335,-2.187776,0.887617,2.414537
4.290000,-0.548490,-2.163321,0.881335,2.476089
4.300000,-0.539710,-2.138262,0.874640,2.535198
4.310000,-0.530998,-2.112625,0.867531,2.591805
4.320000,-0.522360,-2.086435,0.860006,2.645854
4.330000,-0.513800,-2.059717,0.852062,2.697292
4.340000,-0.505320,-2.032498,0.843698,2.746068
4.350000,-0.496927,-2.004805,0.834912,2.792133
4.360000,-0.488624,-1.976664,0.825704,2.835444
4.370000,-0.480414,-1.948105,0.816071,2.875956
4.380000,-0.472304,-1.919155,0.806014,2.913630
4.390000,-0.464295,-1.889842,0.795532,2.948429
4.400000,-0.456394,-1.860196,0.784625,2.980318
4.410000,-0.448604,-1.830246,0.773292,3.009265
4.420000,-0.440930,-1.800020,0.761535,3.035243
4.430000,-0.433375,-1.769551,0.749353,3.058226
4.440000,-0.425944,-1.738866,0.736749,3.078190
4.450000,-0.418642,-1.707997,0.723722,3.095117
4.460000,-0.411471,-1.676974,0.710276,3.108989
4.470000,-0.404437,-1.645827,0.696411,3.119793
4.480000,-0.397544,-1.614588,0.682129,3.127518
4.490000,-0.390796,-1.583287,0.667434,3.132156
4.500000,-0.384197,-1.551955,0.652328,3.133704
4.510000,-0.377751,-1.520624,0.636815,3.132158
4.520000,-0.371462,-1.489323,0.620897,3.127522
4.530000,-0.365334,-1.458083,0.604578,3.119800
4.540000,-0.359372,-1.426937,0.587863,3.108998
4.550000,-0.353578,-1.395914,0.570756,3.095128
4.560000,-0.347958,-1.365045,0.553262,3.078204
4.570000,-0.342515,-1.334360,0.535386,3.058242
4.580000,-0.337252,-1.303890,0.517133,3.035262
4.590000,-0.332173,-1.273664,0.498509,3.009286
4.600000,-0.327283,-1.243714,0.479520,2.980341
4.610000,-0.322584,-1.214067,0.460173,2.948454
4.620000,-0.318080,-1.184754,0.440474,2.913658
4.630000,-0.313776,-1.155804,0.420431,2.875986
4.640000,-0.309673,-1.127244,0.400050,2.835476
4.650000,-0.305776,-1.099104,0.379340,2.792168
4.660000,-0.302087,-1.071410,0.358308,2.746104
4.670000,-0.298611,-1.044191,0.336963,2.697330
4.680000,-0.295349,-1.017472,0.315314,2.645894
4.690000,-0.292305,-0.991281,0.293370,2.591847
4.700000,-0.289482,-0.965644,0.271140,2.535242
4.710000,-0.286883,-0.940585,0.248634,2.476135
4.720000,-0.284511,-0.916129,0.225861,2.414585
4.730000,-0.282367,-0.892301,0.202833,2.350651
4.740000,-0.280455,-0.869124,0.179559,2.284398
4.750000,-0.278777,-0.846621,0.156050,2.215890
4.760000,-0.277335,-0.824814,0.132318,2.145196
4.770000,-0.276131,-0.803724,0.108375,2.072384
4.780000,-0.275168,-0.783373,0.084231,1.997528
4.790000,-0.274447,-0.763780,0.059899,1.920699
4.800000,-0.273970,-0.744965,0.035391,1.841976
4.810000,-0.273740,-0.726946,0.010720,1.761435
4.820000,-0.273756,-0.709742,-0.014101,1.679155
4.830000,-0.274022,-0.693369,-0.039060,1.595218
4.840000,-0.274538,-0.677843,-0.064143,1.509707
4.850000,-0.275305,-0.663180,-0.089336,1.422706
4.860000,-0.276325,-0.649394,-0.114626,1.334301
4.870000,-0.277598,-0.636498,-0.139999,1.244579
4.880000,-0.279125,-0.624506,-0.165440,1.153629
4.890000,-0.280907,-0.613429,-0.190936,1.061540
4.900000,-0.282944,-0.603279,-0.216471,0.968404
4.910000,-0.285237,-0.594064,-0.242031,0.874312
4.920000,-0.287785,-0.585795,-0.267600,0.779357
4.930000,-0.290589,-0.578480,-0.293165,0.683633
4.940000,-0.293648,-0.572125,-0.318708,0.587235
4.950000,-0.296963,-0.566737,-0.344216,0.490257
